参数类别,MATLAB参数名,当前值,单位,中文说明,调大或启用后的影响,调小或禁用后的影响,修改建议
基础与路径,cfg.project_root,E:\Desktop\codex_test4\POP_MOO_Trajectory,文件夹,项目根目录，由 trajectory_config.m 所在位置自动确定。,不适用。,不适用。,自动确定，请勿直接修改
基础与路径,cfg.Ts,0.001,s,插补周期；总时间严格等于 N×Ts。,提高单步时长，变量数减少，但时间和频域分辨率变粗。,减小单步时长，轨迹更细，但 NLP 规模和计算时间增加。,建议按控制器周期修改
基础与路径,cfg.path.type,square,-,路径类型；默认 square，也可配合 CSV 路径接口扩展。,不适用。,不适用。,建议按研究路径修改
基础与路径,cfg.path.square_side,20,mm,默认正方形路径的边长。,路径变长，通常加工时间和状态变化量增加。,路径变短，通常加工时间减少。,建议按工件几何修改
基础与路径,cfg.path.closed,true,逻辑值,是否把路径视为闭合路径。,true 时末点回到起点并执行闭合路径处理。,false 时按开放路径处理。,建议按路径拓扑修改
基础与路径,cfg.path.csv_file,'',文件路径,外部刀位点 CSV 文件；空字符串表示使用内置路径。,不适用。,不适用。,使用自定义路径时修改
几何容差,cfg.geometry.line_tolerance,0.05,mm,直线核心区域允许的最大轮廓误差。,可提高速度和可行性，但轨迹精度下降。,精度提高，但时间和求解难度可能增加。,建议按加工精度修改
几何容差,cfg.geometry.corner_tolerance,0.1,mm,角点处允许的最大轮廓误差。,允许更大的切角和更高角点速度。,角点更贴近理想路径，但可能需要降速。,建议按角点质量修改
几何容差,cfg.geometry.transition_length,2,mm,角点前后动态容差由直线值过渡到角点值的长度。,放宽区更长，转向更平缓。,放宽区更集中，角点附近状态变化更激烈。,建议按几何尺度修改
几何容差,cfg.geometry.overlap_extension,0.1,mm,相邻线段在角点处允许的切向重叠长度。,线段切换更宽松，但需关注捷径风险。,顺序约束更严格，过小可能导致不可行。,高级调参
运动学硬约束,cfg.limits.Vmax,500,mm/s,X/Y 轴速度绝对值上限。,允许更快运动；也会改变速度归一化尺度。,限制速度并可能增加最短时间。,建议按机床参数修改
运动学硬约束,cfg.limits.Amax,10000,mm/s^2,X/Y 轴加速度绝对值上限，也是模态输入归一化尺度。,允许更快转向，但可能增大激振。,转向更平缓，最短时间通常增加。,建议按机床参数修改
运动学硬约束,cfg.limits.Jmax,200000,mm/s^3,X/Y 轴 jerk（跃度）绝对值上限。,允许加速度更快变化，振动风险可能上升。,平滑性增强，但时间和求解难度可能增加。,建议按机床参数修改
运动学硬约束,cfg.limits.SnapMax,7000000,mm/s^4,X/Y 轴 snap 绝对值上限。,允许 jerk 更快变化。,限制高阶突变，轨迹更平滑。,建议按机床参数修改
运动学硬约束,cfg.limits.CrackleMax,200000000000,mm/s^5,X/Y 轴 crackle 绝对值上限。,放宽五阶导数约束。,增强高阶平滑性，可能增加加工时间。,建议按机床参数修改
运动学硬约束,cfg.limits.POPMax,200000000000,mm/s^6,控制输入 POP 的绝对值上限。,控制更激进，可能降低时间但增加高频成分。,控制更平滑，但可行时间可能增加。,建议按机床参数修改
端点边界,cfg.boundary.zero_velocity,true,逻辑值,是否强制起点和终点速度为零。,true 时端点完全静止条件更严格。,false 时允许非零端点速度。,通常保持 true
端点边界,cfg.boundary.zero_acceleration,true,逻辑值,是否强制起点和终点加速度为零。,true 时端点更平滑。,false 时端点约束更宽松。,通常保持 true
端点边界,cfg.boundary.zero_jerk,true,逻辑值,是否强制起点和终点 jerk 为零。,true 时端点高阶连续性更强。,false 时更易获得短时间解。,通常保持 true
端点边界,cfg.boundary.zero_snap,true,逻辑值,是否强制起点和终点 snap 为零。,true 时端点更平滑。,false 时放宽端点高阶状态。,通常保持 true
端点边界,cfg.boundary.zero_crackle,true,逻辑值,是否强制起点和终点 crackle 为零。,true 时端点更平滑。,false 时放宽端点高阶状态。,通常保持 true
端点边界,cfg.boundary.zero_endpoint_pop,true,逻辑值,是否强制首尾 POP 控制量为零。,true 时控制输入在首尾不突变。,false 时端点控制更自由。,通常保持 true
归一化尺度,cfg.scale.position,20,mm,位置变量的 NLP 归一化尺度。,归一化位置数值变小。,归一化位置数值变大。,自动派生，请勿直接修改
归一化尺度,cfg.scale.velocity,500,mm/s,速度变量的 NLP 归一化尺度。,归一化速度数值变小。,归一化速度数值变大。,自动派生，请勿直接修改
归一化尺度,cfg.scale.acceleration,10000,mm/s^2,加速度变量的 NLP 归一化尺度。,归一化加速度数值变小。,归一化加速度数值变大。,自动派生，请勿直接修改
归一化尺度,cfg.scale.jerk,200000,mm/s^3,jerk 变量的 NLP 归一化尺度。,归一化 jerk 数值变小。,归一化 jerk 数值变大。,自动派生，请勿直接修改
归一化尺度,cfg.scale.snap,7000000,mm/s^4,snap 变量的 NLP 归一化尺度。,归一化 snap 数值变小。,归一化 snap 数值变大。,自动派生，请勿直接修改
归一化尺度,cfg.scale.crackle,200000000000,mm/s^5,crackle 变量的 NLP 归一化尺度。,归一化 crackle 数值变小。,归一化 crackle 数值变大。,自动派生，请勿直接修改
归一化尺度,cfg.scale.pop,200000000000,mm/s^6,POP 变量的 NLP 归一化尺度。,归一化 POP 数值变小。,归一化 POP 数值变大。,自动派生，请勿直接修改
